Player's List,Base Price,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,TYPE_BATSMAN,TYPE_BOWLER,TYPE_WICKETKEEPER,Team_Delhi Capitals,Team_Gujarat Titans,Team_Kolkata Knight Riders,Team_Lucknow Super Giants,Team_Mumbai Indians,Team_Punjab Super Kings,Team_Rajasthan Royals,Team_Royal Challengers Banglore,Team_Sunrisers Hyderabad,Team_Unsold
Shivam Mavi,4000000,6.0,720.0,KKR,False,True,False,False,True,False,False,False,False,False,False,False,False
Joshua Little,5000000,4.4,528.0,Not in 2022 Squad,False,True,False,False,True,False,False,False,False,False,False,False,False
Kane Williamson,20000000,2.0,240.0,SRH,True,False,False,False,True,False,False,False,False,False,False,False,False
K.S. Bharat,2000000,1.2,144.0,DC,False,False,True,False,True,False,False,False,False,False,False,False,False
Mohit Sharma,5000000,0.5,60.0,Not in 2022 Squad,False,True,False,False,True,False,False,False,False,False,False,False,False
Odean Smith,5000000,0.5,60.0,PBKS,False,False,False,False,True,False,False,False,False,False,False,False,False
Urvil Patel,2000000,0.2,24.0,Not in 2022 Squad,False,False,True,False,True,False,False,False,False,False,False,False,False
Rahul Tewatia,0,0.0,0.0,GT,False,False,False,False,True,False,False,False,False,False,False,False,False
Pradeep Sangwan,0,0.0,0.0,GT,False,False,False,False,True,False,False,False,False,False,False,False,False
Rashid Khan,0,0.0,0.0,GT,False,True,False,False,True,False,False,False,False,False,False,False,False
R. Sai Kishore,0,0.0,0.0,GT,False,True,False,False,True,False,False,False,False,False,False,False,False
Yash Dayal,0,0.0,0.0,GT,False,True,False,False,True,False,False,False,False,False,False,False,False
Noor Ahmad,0,0.0,0.0,GT,False,True,False,False,True,False,False,False,False,False,False,False,False
Wriddhiman Saha,0,0.0,0.0,GT,False,False,True,False,True,False,False,False,False,False,False,False,False
Vijay Shankar,0,0.0,0.0,GT,False,False,False,False,True,False,False,False,False,False,False,False,False
Shubman Gill,0,0.0,0.0,GT,True,False,False,False,True,False,False,False,False,False,False,False,False
