epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.735,1.96497,3.33441,1.77369,0.45159,0.39518,0.36517,0.15886,1.86234,2.23586,1.72373,0.00332565,0.00332565,0.00332565
2,318.83,1.80829,2.32028,1.61055,0.50766,0.38434,0.37222,0.15745,1.98575,2.10022,1.79564,0.00659306,0.00659306,0.00659306
3,479.79,1.85255,2.09533,1.63416,0.47318,0.41803,0.37145,0.15925,1.96667,2.02599,1.84953,0.00979447,0.00979447,0.00979447
4,635.881,1.87383,1.93583,1.65519,0.61138,0.4506,0.48056,0.21961,1.88372,1.78503,1.72466,0.009703,0.009703,0.009703
5,793.934,1.83808,1.83943,1.63009,0.58639,0.48215,0.51054,0.24528,1.82509,1.64675,1.69479,0.009604,0.009604,0.009604
6,952.27,1.80431,1.73444,1.61734,0.62774,0.49153,0.52803,0.25039,1.81226,1.5792,1.67128,0.009505,0.009505,0.009505
7,1109.8,1.77845,1.68134,1.59526,0.66147,0.53129,0.57236,0.28125,1.76613,1.4936,1.61729,0.009406,0.009406,0.009406
8,1269.86,1.76323,1.63078,1.58429,0.65344,0.49579,0.54837,0.27498,1.75646,1.59581,1.63443,0.009307,0.009307,0.009307
9,1429.16,1.73545,1.5721,1.56733,0.68942,0.49946,0.55176,0.27783,1.74,1.44958,1.59985,0.009208,0.009208,0.009208
10,1582.78,1.72371,1.54164,1.55767,0.7087,0.50891,0.56715,0.28744,1.74463,1.42142,1.59375,0.009109,0.009109,0.009109
11,1735.78,1.70824,1.51235,1.54458,0.7144,0.54056,0.59212,0.31305,1.67114,1.35529,1.56086,0.00901,0.00901,0.00901
