epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5372,1.23598,2.50307,1.42349,0.55836,0.63512,0.56892,0.36398,1.20016,2.55495,1.41058,0.000474405,0.000474405,0.000474405
2,148.165,1.26888,1.8689,1.4249,0.53565,0.49471,0.51521,0.27317,1.56093,1.91827,1.68073,0.000887989,0.000887989,0.000887989
3,220.347,1.27733,1.63186,1.42675,0.71088,0.68261,0.73311,0.43168,1.28605,1.32414,1.4138,0.0012387,0.0012387,0.0012387
4,291.94,1.24457,1.46497,1.39793,0.80649,0.74453,0.81421,0.5578,1.09604,1.0769,1.27706,0.00114606,0.00114606,0.00114606
5,363.874,1.18874,1.30169,1.35154,0.82236,0.75002,0.81772,0.55122,1.12976,1.05004,1.29969,0.00105174,0.00105174,0.00105174
6,436.376,1.04515,0.96819,1.29623,0.88055,0.7837,0.88642,0.61682,1.03614,0.85774,1.23428,0.00095743,0.00095743,0.00095743
7,506.889,0.98072,0.84209,1.25228,0.89324,0.8312,0.90024,0.65627,0.99518,0.78379,1.23689,0.000863116,0.000863116,0.000863116
8,575.086,0.93573,0.74765,1.21609,0.90042,0.83349,0.91655,0.67422,0.9494,0.7131,1.17457,0.000768802,0.000768802,0.000768802
9,642.755,0.88907,0.66934,1.1765,0.928,0.88374,0.94246,0.70339,0.95805,0.63792,1.15741,0.000674488,0.000674488,0.000674488
10,709.778,0.85171,0.61314,1.15183,0.94868,0.87934,0.94441,0.71613,0.93285,0.62247,1.13967,0.000580174,0.000580174,0.000580174
11,777.682,0.8156,0.56746,1.12531,0.94287,0.91196,0.95209,0.73369,0.88295,0.53948,1.12524,0.00048586,0.00048586,0.00048586
12,843.614,0.76409,0.5072,1.09056,0.94215,0.92916,0.95107,0.72614,0.88922,0.55925,1.11356,0.000391546,0.000391546,0.000391546
13,909.098,0.73385,0.47095,1.06046,0.95689,0.91516,0.95601,0.75537,0.84788,0.49324,1.097,0.000297232,0.000297232,0.000297232
14,976.446,0.69851,0.43324,1.04345,0.95329,0.91675,0.95778,0.75853,0.82926,0.48888,1.07585,0.000202918,0.000202918,0.000202918
15,1041.91,0.66191,0.40393,1.02433,0.96311,0.91949,0.96263,0.76696,0.81972,0.46895,1.06647,0.000108604,0.000108604,0.000108604
