epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1342,1.10969,2.58425,2.63139,1.28769,0,0.19068,0.47368,0.20411,0.11439,0.13983,0.34737,0.1236,0.06235,1.25879,7.645,16.3236,1.66759,0,0.000655556,0.000655556,0.000655556
2,66.8415,1.05472,1.92027,1.23033,1.22995,0,0.00793,0.28421,0.00601,0.00213,0.01495,0.30526,0.00825,0.00219,2.59211,23.678,70.0443,3.42712,0,0.00127859,0.00127859,0.00127859
3,97.7064,1.07059,1.94005,1.14177,1.22373,0,0.00551,0.05263,0.00246,0.0015,0.00551,0.05263,0.00237,0.00126,2.2241,63.0058,36.5318,2.3474,0,0.00185762,0.00185762,0.00185762
4,128.64,1.10552,1.94797,1.08045,1.23977,0,0.37943,0.64211,0.49101,0.34066,0.37321,0.63158,0.48186,0.30651,1.10434,3.2607,4.67782,1.28698,0,0.001802,0.001802,0.001802
5,161.084,1.03266,1.90901,0.97901,1.20092,0,0.76301,0.61003,0.66362,0.48174,0.75793,0.57895,0.63954,0.40868,1.18595,3.10047,1.4811,1.29879,0,0.001736,0.001736,0.001736
6,193.77,1.02133,1.84778,0.9808,1.19104,0,0.93548,0.81053,0.90638,0.69063,0.93548,0.81053,0.88845,0.55219,0.91062,2.52704,0.78071,1.15038,0,0.00167,0.00167,0.00167
7,225.608,0.96402,1.68412,0.86012,1.1627,0,0.91488,0.79203,0.87678,0.6664,0.91488,0.79203,0.87228,0.62374,0.9274,1.95735,0.84348,1.15048,0,0.001604,0.001604,0.001604
8,256.647,0.95041,1.69266,0.89086,1.15831,0,0.90079,0.76466,0.84226,0.6546,0.88839,0.75414,0.82257,0.57279,0.87706,2.37529,0.92844,1.11726,0,0.001538,0.001538,0.001538
9,286.942,0.89285,1.64724,0.82516,1.1155,0,0.88745,0.8,0.88589,0.70078,0.91217,0.77895,0.87602,0.65999,0.85561,1.84062,0.79818,1.08435,0,0.001472,0.001472,0.001472
10,319.056,0.89295,1.58094,0.7676,1.12348,0,0.90626,0.84211,0.89015,0.70209,0.91758,0.85263,0.8952,0.66834,0.83861,1.79898,0.70457,1.0939,0,0.001406,0.001406,0.001406
